#   GLON      GLAT      VLSR     MLON      MLAT
  289.7928  -63.4391  186.56  -31.2556    1.7156
  289.7786  -63.3901  187.09  -31.2064    1.7104
  289.7644  -63.3411  187.61  -31.1572    1.7052
  289.7503  -63.2921  188.02  -31.1081    1.7000
  289.7362  -63.2430  188.28  -31.0589    1.6948
  289.7222  -63.1940  188.55  -31.0097    1.6896
  289.7082  -63.1450  188.81  -30.9605    1.6845
  289.6942  -63.0960  189.07  -30.9113    1.6793
  289.6803  -63.0469  189.33  -30.8622    1.6741
  289.6665  -62.9979  189.60  -30.8130    1.6689
  289.6526  -62.9489  189.86  -30.7638    1.6637
  289.6389  -62.8998  190.12  -30.7146    1.6585
  289.6251  -62.8508  190.38  -30.6654    1.6533
  289.6115  -62.8018  190.65  -30.6162    1.6482
  289.5966  -62.7529  190.91  -30.5671    1.6435
  289.5579  -62.7065  191.17  -30.5179    1.6502
  289.5192  -62.6602  191.44  -30.4687    1.6569
  289.4807  -62.6138  191.70  -30.4195    1.6635
  289.4423  -62.5675  191.95  -30.3703    1.6702
  289.4040  -62.5211  192.18  -30.3212    1.6769
  289.3658  -62.4748  192.41  -30.2720    1.6835
  289.3278  -62.4284  192.64  -30.2228    1.6902
  289.2898  -62.3820  192.87  -30.1736    1.6969
  289.2520  -62.3356  193.10  -30.1244    1.7035
  289.2143  -62.2892  193.33  -30.0752    1.7102
  289.1767  -62.2427  193.56  -30.0261    1.7169
  289.1392  -62.1963  193.79  -29.9769    1.7235
  289.1019  -62.1499  194.02  -29.9277    1.7302
  289.0646  -62.1034  194.25  -29.8785    1.7369
  289.0285  -62.0568  194.48  -29.8293    1.7430
  289.2476  -61.9829  194.71  -29.7802    1.6264
  289.4656  -61.9086  194.94  -29.7310    1.5097
  289.6825  -61.8340  195.17  -29.6818    1.3930
  289.8984  -61.7590  195.40  -29.6326    1.2763
  290.0457  -61.6915  195.63  -29.5834    1.1926
  290.1644  -61.6271  195.86  -29.5342    1.1226
  290.2825  -61.5626  195.89  -29.4851    1.0526
  290.4002  -61.4980  195.89  -29.4359    0.9826
  290.5174  -61.4333  195.89  -29.3867    0.9126
  290.6340  -61.3685  195.89  -29.3375    0.8426
  290.7502  -61.3036  195.89  -29.2883    0.7725
  290.8659  -61.2386  195.89  -29.2392    0.7025
  291.0378  -61.1664  195.89  -29.1900    0.6043
  291.6652  -61.0351  195.89  -29.1408    0.2776
  292.2874  -60.9010  195.89  -29.0916   -0.0491
  292.4095  -60.8332  195.89  -29.0424   -0.1247
  292.5109  -60.7681  195.89  -28.9932   -0.1900
  292.6118  -60.7029  195.89  -28.9441   -0.2553
  292.7124  -60.6376  195.89  -28.8949   -0.3207
  292.8126  -60.5723  195.89  -28.8457   -0.3860
  292.9124  -60.5068  195.89  -28.7965   -0.4514
  293.0117  -60.4414  195.89  -28.7473   -0.5167
  293.1107  -60.3758  195.89  -28.6982   -0.5820
  293.2093  -60.3101  195.82  -28.6490   -0.6474
  293.3075  -60.2444  195.69  -28.5998   -0.7127
  293.4363  -60.1740  195.56  -28.5506   -0.7942
  293.6770  -60.0866  195.43  -28.5014   -0.9342
  293.9164  -59.9987  195.29  -28.4522   -1.0742
  294.1546  -59.9103  195.16  -28.4031   -1.2142
  294.3915  -59.8216  195.03  -28.3539   -1.3542
  294.4165  -59.7661  194.90  -28.3047   -1.3829
  294.4225  -59.7136  194.77  -28.2555   -1.4016
  294.4285  -59.6611  194.64  -28.2063   -1.4202
  294.4344  -59.6086  194.51  -28.1572   -1.4389
  294.4404  -59.5561  194.37  -28.1080   -1.4576
  294.4463  -59.5036  194.24  -28.0588   -1.4762
  294.4522  -59.4511  194.11  -28.0096   -1.4949
  294.4581  -59.3986  193.98  -27.9604   -1.5136
  294.4640  -59.3460  193.84  -27.9112   -1.5322
  294.4698  -59.2935  193.69  -27.8621   -1.5509
  294.4675  -59.2424  193.54  -27.8129   -1.5652
  294.4262  -59.1975  193.38  -27.7637   -1.5586
  294.3850  -59.1526  193.23  -27.7145   -1.5519
  294.3439  -59.1077  193.08  -27.6653   -1.5452
  294.3029  -59.0628  192.92  -27.6161   -1.5385
  294.2620  -59.0178  192.77  -27.5670   -1.5319
  294.2212  -58.9729  192.62  -27.5178   -1.5252
  294.1805  -58.9279  192.46  -27.4686   -1.5185
  294.1399  -58.8829  192.31  -27.4194   -1.5119
  294.0995  -58.8380  192.16  -27.3702   -1.5052
  294.0591  -58.7930  192.00  -27.3211   -1.4985
  294.0188  -58.7479  191.90  -27.2719   -1.4919
  293.9787  -58.7029  191.90  -27.2227   -1.4852
  293.9387  -58.6579  191.90  -27.1735   -1.4785
  293.8987  -58.6128  191.90  -27.1243   -1.4719
  293.8577  -58.5680  191.90  -27.0751   -1.4646
  293.8088  -58.5243  191.90  -27.0260   -1.4529
  293.7601  -58.4807  191.90  -26.9768   -1.4412
  293.7114  -58.4370  191.90  -26.9276   -1.4296
  293.6629  -58.3934  191.90  -26.8784   -1.4179
  293.6145  -58.3497  191.90  -26.8292   -1.4062
  293.5662  -58.3059  191.90  -26.7801   -1.3946
  293.5181  -58.2622  191.74  -26.7309   -1.3829
  293.4700  -58.2185  191.40  -26.6817   -1.3712
  293.4278  -58.1738  191.05  -26.6325   -1.3627
  293.3906  -58.1283  190.71  -26.5833   -1.3568
  293.3535  -58.0829  190.36  -26.5341   -1.3510
  293.3164  -58.0374  190.02  -26.4850   -1.3452
  293.2795  -57.9919  189.67  -26.4358   -1.3393
  293.2427  -57.9464  189.33  -26.3866   -1.3335
  293.2060  -57.9009  188.98  -26.3374   -1.3277
  293.1693  -57.8554  188.55  -26.2882   -1.3218
  293.1328  -57.8099  188.09  -26.2391   -1.3160
  293.0963  -57.7643  187.63  -26.1899   -1.3102
  293.0600  -57.7188  187.17  -26.1407   -1.3043
  293.0237  -57.6732  186.71  -26.0915   -1.2985
  292.9875  -57.6276  186.25  -26.0423   -1.2927
  292.9515  -57.5820  185.79  -25.9931   -1.2868
  292.9155  -57.5364  185.33  -25.9440   -1.2810
  292.8796  -57.4908  184.88  -25.8948   -1.2752
  292.8438  -57.4452  184.54  -25.8456   -1.2693
  292.8116  -57.3990  184.19  -25.7964   -1.2655
  292.7864  -57.3518  183.85  -25.7472   -1.2655
  292.7612  -57.3045  183.50  -25.6981   -1.2655
  292.7361  -57.2573  183.16  -25.6489   -1.2655
  292.7111  -57.2100  182.81  -25.5997   -1.2655
  292.6861  -57.1627  182.47  -25.5505   -1.2655
  292.6612  -57.1155  182.12  -25.5013   -1.2655
  292.6364  -57.0682  181.73  -25.4521   -1.2655
  292.6116  -57.0209  181.27  -25.4030   -1.2655
  292.5869  -56.9736  180.81  -25.3538   -1.2655
  292.5622  -56.9263  180.35  -25.3046   -1.2655
  292.5377  -56.8790  179.89  -25.2554   -1.2655
  292.5131  -56.8317  179.44  -25.2062   -1.2655
  292.4928  -56.7837  178.98  -25.1571   -1.2678
  292.4775  -56.7350  178.72  -25.1079   -1.2730
  292.4622  -56.6863  178.49  -25.0587   -1.2782
  292.4470  -56.6376  178.26  -25.0095   -1.2833
  292.4318  -56.5888  178.03  -24.9603   -1.2885
  292.4167  -56.5401  177.80  -24.9111   -1.2937
